epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,5950.83,0.41803,0.82853,0.85384,0.85221,0.42378,0.42746,0.379,0.22008,0.43499,0.4409,0.37264,0.18282,1.56673,3.3942,1.77731,2.11393,0.000334045,0.000334045,0.000334045
30,6147.28,0.41715,0.82186,0.85353,0.85669,0.39955,0.46187,0.38707,0.23399,0.46983,0.38911,0.37301,0.18352,1.53687,3.35778,1.7877,2.0872,0.000318544,0.000318544,0.000318544
31,6350.98,0.41201,0.80448,0.84894,0.85266,0.38356,0.5063,0.36397,0.20914,0.3858,0.50631,0.36015,0.17483,1.59934,3.36917,1.7405,2.17105,0.000303,0.000303,0.000303
32,6554.86,0.4034,0.79629,0.83661,0.84648,0.41188,0.47184,0.37201,0.21579,0.41028,0.47674,0.36431,0.18672,1.56114,3.39502,1.75768,2.13037,0.000287456,0.000287456,0.000287456
33,6758.47,0.39132,0.79173,0.83231,0.85012,0.43574,0.44575,0.38872,0.22123,0.42017,0.42996,0.35953,0.18291,1.58965,3.43193,1.77404,2.15413,0.000271955,0.000271955,0.000271955
34,6962.79,0.38927,0.77744,0.83112,0.84313,0.43584,0.48501,0.40136,0.2325,0.42653,0.45577,0.36275,0.18755,1.54562,3.37679,1.72739,2.11509,0.000256539,0.000256539,0.000256539
35,7166.13,0.38888,0.78159,0.82729,0.84684,0.42255,0.47018,0.38731,0.22691,0.43139,0.42386,0.37348,0.18539,1.56355,3.43613,1.71242,2.13193,0.00024125,0.00024125,0.00024125
36,7370.36,0.38668,0.77847,0.83073,0.84114,0.42046,0.44838,0.37775,0.21843,0.41397,0.43913,0.36061,0.17658,1.5954,3.50516,1.76604,2.17144,0.000226131,0.000226131,0.000226131
37,7575.44,0.38191,0.76625,0.82357,0.84177,0.43501,0.4678,0.39328,0.22729,0.42355,0.45909,0.36467,0.18562,1.58963,3.47455,1.68006,2.20518,0.000211222,0.000211222,0.000211222
38,7779.36,0.37672,0.76564,0.8253,0.8416,0.41705,0.48142,0.38046,0.21937,0.44603,0.46552,0.37013,0.17947,1.59256,3.57363,1.72825,2.2037,0.000196565,0.000196565,0.000196565
39,7984.05,0.36587,0.75228,0.82236,0.83644,0.42539,0.46257,0.38364,0.21754,0.41635,0.45828,0.37263,0.18186,1.57938,3.59373,1.72831,2.16412,0.000182199,0.000182199,0.000182199
40,8189.28,0.35572,0.74759,0.8133,0.8355,0.42966,0.46546,0.38516,0.22532,0.4284,0.45703,0.36693,0.18405,1.56282,3.55742,1.74109,2.16181,0.000168165,0.000168165,0.000168165
41,8393.91,0.35979,0.74417,0.81342,0.83427,0.44282,0.44846,0.38542,0.22832,0.44846,0.45455,0.37712,0.19184,1.52139,3.58681,1.75395,2.11669,0.0001545,0.0001545,0.0001545
42,8598.7,0.35296,0.73314,0.80864,0.83262,0.42625,0.45828,0.39556,0.23218,0.4418,0.47548,0.38823,0.19549,1.56164,3.5849,1.74975,2.14036,0.000141242,0.000141242,0.000141242
43,8803.19,0.34604,0.73393,0.81,0.82225,0.43747,0.46153,0.38043,0.22231,0.46598,0.46889,0.38957,0.18809,1.58097,3.64177,1.76605,2.16627,0.000128428,0.000128428,0.000128428
44,9008.59,0.34622,0.71473,0.80576,0.8315,0.4469,0.4825,0.39888,0.23274,0.44625,0.46797,0.38696,0.19511,1.55238,3.67912,1.74754,2.14577,0.000116092,0.000116092,0.000116092
45,9213.04,0.34116,0.71822,0.7998,0.82893,0.4522,0.47014,0.37146,0.22158,0.45187,0.45669,0.36554,0.18282,1.55065,3.63666,1.78979,2.15303,0.000104268,0.000104268,0.000104268
46,9417.17,0.33582,0.71811,0.79575,0.82898,0.45746,0.47139,0.37845,0.221,0.44984,0.45561,0.36176,0.18433,1.56868,3.69588,1.73808,2.18815,9.29893e-05,9.29893e-05,9.29893e-05
47,9621.82,0.338,0.7116,0.79712,0.82361,0.44923,0.48272,0.37978,0.22151,0.45785,0.45384,0.36449,0.18334,1.56241,3.6658,1.8079,2.17087,8.2286e-05,8.2286e-05,8.2286e-05
48,9826.56,0.33221,0.70905,0.79549,0.82286,0.42525,0.4739,0.38854,0.22994,0.44906,0.46655,0.38184,0.19346,1.55776,3.65368,1.76874,2.15656,7.21876e-05,7.21876e-05,7.21876e-05
49,10030.9,0.32804,0.70198,0.79166,0.81956,0.41382,0.49361,0.38497,0.22869,0.43905,0.4548,0.38785,0.19291,1.55752,3.68629,1.79045,2.16493,6.2722e-05,6.2722e-05,6.2722e-05
50,10235,0.3295,0.7072,0.79336,0.81852,0.41568,0.49236,0.3865,0.22482,0.45652,0.4641,0.38196,0.18751,1.57942,3.68358,1.78154,2.19551,5.39148e-05,5.39148e-05,5.39148e-05
