epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6288,1.70608,3.56238,1.91559,0.18546,0.21158,0.1513,0.06929,2.2507,11.1144,2.33237,0.0003,0.0003,0.0003
2,45.6953,1.79246,3.01712,1.91892,0.00665,0.12606,0.0026,0.00092,2.89167,inf,3.34812,0.000597922,0.000597922,0.000597922
3,78.9343,1.88505,2.88403,2.01026,0.2255,0.15046,0.06075,0.02485,2.88998,6.44312,3.7441,0.000883568,0.000883568,0.000883568
4,98.7722,1.84685,2.85644,1.97567,0.25972,0.12999,0.06346,0.02822,3.04139,11.3107,3.96116,0.0009406,0.0009406,0.0009406
5,124.979,1.87336,2.79686,1.97851,0.03483,0.16905,0.04648,0.02031,2.59485,8.23687,2.93562,0.0009208,0.0009208,0.0009208
6,165.781,1.86201,2.74327,1.95398,0.42685,0.04704,0.03274,0.01923,2.74111,8.88005,2.82479,0.000901,0.000901,0.000901
7,194.031,1.78745,2.69791,1.91304,0.37815,0.23729,0.22549,0.12431,2.30718,3.58017,2.50037,0.0008812,0.0008812,0.0008812
8,224.086,1.76493,2.66558,1.91575,0.4097,0.31235,0.30747,0.18028,2.01319,4.67765,2.19006,0.0008614,0.0008614,0.0008614
9,249.408,1.70592,2.54292,1.8334,0.40416,0.32618,0.26579,0.15721,2.05823,3.66683,2.17815,0.0008416,0.0008416,0.0008416
10,283.693,1.68987,2.50417,1.82641,0.41611,0.37483,0.31697,0.20999,2.02588,3.79367,2.10268,0.0008218,0.0008218,0.0008218
11,314.504,1.67889,2.45486,1.83113,0.5435,0.39618,0.3486,0.24073,1.90931,3.20191,1.99983,0.000802,0.000802,0.000802
12,342.461,1.6265,2.40277,1.79496,0.32298,0.30618,0.28873,0.19473,1.95653,2.81357,1.97098,0.0007822,0.0007822,0.0007822
13,365.251,1.61483,2.38933,1.77459,0.55712,0.33486,0.36708,0.26472,1.9518,2.64225,2.0095,0.0007624,0.0007624,0.0007624
14,397.255,1.59971,2.36341,1.77186,0.50646,0.39387,0.37688,0.27276,1.83712,2.59751,2.01724,0.0007426,0.0007426,0.0007426
15,448.517,1.56727,2.32911,1.73681,0.58925,0.39634,0.41622,0.29997,1.83057,2.46067,1.9581,0.0007228,0.0007228,0.0007228
16,477.905,1.56208,2.27395,1.72016,0.69805,0.39159,0.39948,0.28249,1.8602,2.60585,2.00987,0.000703,0.000703,0.000703
17,501.138,1.50473,2.16742,1.6916,0.33493,0.46639,0.39647,0.27794,1.88176,2.60266,1.99957,0.0006832,0.0006832,0.0006832
18,525.556,1.50053,2.17023,1.68956,0.60473,0.39893,0.41764,0.30215,1.82655,2.5572,1.95556,0.0006634,0.0006634,0.0006634
19,557.001,1.47634,2.10431,1.64757,0.75721,0.37496,0.4272,0.32323,1.77314,2.56879,1.8897,0.0006436,0.0006436,0.0006436
20,587.316,1.47237,2.1165,1.65968,0.37174,0.49039,0.45589,0.32661,1.83098,2.40576,1.91811,0.0006238,0.0006238,0.0006238
21,616.578,1.4074,2.03799,1.63392,0.41392,0.47685,0.42902,0.30653,1.843,2.44923,1.92365,0.000604,0.000604,0.000604
