epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.096,0.53464,1.10179,0.46842,1.00846,0.77538,0.70512,0.7343,0.57825,0.77222,0.69631,0.71942,0.55399,1.28507,2.75995,1.34035,1.86227,0.000541477,0.000399432,0.000399432
2,448.393,0.40422,0.84902,0.30381,0.90589,0.80955,0.70301,0.74307,0.58264,0.79595,0.69785,0.73214,0.55825,1.29802,2.80012,1.34147,1.91552,0.000384928,0.000384928,0.000384928
3,673.446,0.39549,0.82819,0.28843,0.89991,0.79516,0.70189,0.7389,0.5827,0.7928,0.70004,0.73004,0.55518,1.27789,2.81202,1.33739,1.87303,0.000342007,0.000342007,0.000342007
4,897.925,0.37982,0.79856,0.2751,0.89464,0.80021,0.6938,0.74648,0.59067,0.73701,0.73281,0.73862,0.56491,1.27404,2.8676,1.35252,1.86651,0.000277771,0.000277771,0.000277771
5,1122.6,0.36223,0.77955,0.26534,0.87995,0.80785,0.705,0.75011,0.59525,0.80908,0.69301,0.73692,0.56737,1.26974,2.86869,1.33491,1.88445,0.000202,0.000202,0.000202
6,1347.83,0.34925,0.77073,0.25588,0.87415,0.82374,0.70012,0.7444,0.59034,0.8215,0.69736,0.73335,0.56203,1.27178,2.85312,1.32812,1.88465,0.000126229,0.000126229,0.000126229
7,1572.64,0.34163,0.75849,0.24973,0.87483,0.79095,0.72831,0.75328,0.59675,0.80757,0.7066,0.73681,0.5647,1.26307,2.86408,1.34601,1.88531,6.19929e-05,6.19929e-05,6.19929e-05
8,1796.85,0.33529,0.74526,0.24453,0.86821,0.79983,0.72026,0.75171,0.59622,0.79818,0.70977,0.7385,0.56799,1.26957,2.88145,1.35003,1.89537,1.90719e-05,1.90719e-05,1.90719e-05
