epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.832,0.83005,1.60309,0.80359,1.26813,0.77077,0.69095,0.71719,0.55275,0.76249,0.68603,0.7073,0.53081,1.29105,2.40054,1.29422,1.74312,0.00039169,0.000249645,0.000249645
2,447.782,0.67465,1.31632,0.60142,1.12389,0.72853,0.72871,0.72351,0.55971,0.7282,0.72322,0.71287,0.53775,1.25627,2.36745,1.25438,1.70178,0.00024058,0.00024058,0.00024058
3,673.247,0.65024,1.25932,0.55877,1.10395,0.76266,0.70497,0.72702,0.5632,0.76891,0.6975,0.717,0.53987,1.26862,2.41692,1.23036,1.7105,0.000213754,0.000213754,0.000213754
4,898.44,0.64465,1.24914,0.55898,1.09625,0.76446,0.71068,0.73259,0.56802,0.78812,0.69252,0.72189,0.54461,1.27204,2.42528,1.23814,1.71696,0.000173607,0.000173607,0.000173607
5,1123.3,0.61699,1.21419,0.52921,1.07938,0.77456,0.70692,0.73162,0.56471,0.77538,0.69709,0.71911,0.54256,1.2681,2.43482,1.26057,1.7189,0.00012625,0.00012625,0.00012625
6,1348.65,0.61924,1.22312,0.5184,1.08318,0.78268,0.71235,0.73978,0.57348,0.77681,0.70658,0.72943,0.55135,1.26815,2.40999,1.2278,1.72084,7.88929e-05,7.88929e-05,7.88929e-05
7,1573.29,0.59716,1.17698,0.51097,1.06616,0.77503,0.7185,0.74084,0.57449,0.77249,0.70555,0.72702,0.55007,1.26071,2.44047,1.24248,1.71752,3.87455e-05,3.87455e-05,3.87455e-05
8,1798.48,0.59998,1.18198,0.50088,1.06739,0.7763,0.72172,0.74053,0.57266,0.77488,0.71169,0.7254,0.54871,1.2561,2.43467,1.23339,1.71464,1.19199e-05,1.19199e-05,1.19199e-05
