id,class,TP,FP,FN,precision,recall,f1,det_rate
0,dent,73,7,0,0.9124999999885937,0.9999999999863013,0.9542483655016446,0.9999999999863013
1,scratch,110,16,0,0.8730158730089443,0.999999999990909,0.9322033893249067,0.999999999990909
2,crack,53,7,1,0.8833333333186112,0.9814814814633059,0.9298245608885812,0.9814814814633059
3,glass_shatter,25,0,0,0.99999999996,0.99999999996,0.99999999946,0.99999999996
4,tire_flat,24,1,3,0.9599999999616,0.8888888888559671,0.9230769225421597,0.8888888888559671
5,lamp_broken,36,1,2,0.9729729729466765,0.9473684210277009,0.959999999474489,0.9473684210277009
