epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8456.54,1.31349,1.85567,1.71776,0.52683,0.4596,0.4761,0.34374,1.78178,2.34359,2.1159,0.0005941,0.0005941,0.0005941
43,8644.11,1.26821,1.8201,1.67029,0.50675,0.45668,0.48052,0.33922,1.76938,2.31958,2.0836,0.0005842,0.0005842,0.0005842
44,8833.71,1.30816,1.84492,1.68899,0.5974,0.44529,0.49623,0.35185,1.76788,2.31805,2.11474,0.0005743,0.0005743,0.0005743
45,9027.31,1.29138,1.80661,1.68109,0.49143,0.48308,0.49051,0.34986,1.78148,2.3889,2.13564,0.0005644,0.0005644,0.0005644
46,9200.2,1.27771,1.8401,1.6966,0.50455,0.44392,0.47287,0.33199,1.80703,2.51984,2.16953,0.0005545,0.0005545,0.0005545
47,9416.92,1.24888,1.78142,1.65074,0.48365,0.4406,0.47756,0.34158,1.78134,2.40822,2.13432,0.0005446,0.0005446,0.0005446
48,9628.58,1.25993,1.73593,1.66509,0.58074,0.41471,0.46,0.33357,1.80507,2.38229,2.16124,0.0005347,0.0005347,0.0005347
49,9800.22,1.21884,1.70186,1.62855,0.5044,0.45838,0.47876,0.34283,1.80368,2.41261,2.13845,0.0005248,0.0005248,0.0005248
50,9985.51,1.23114,1.7402,1.6264,0.50733,0.46707,0.47674,0.33766,1.78284,2.42323,2.09993,0.0005149,0.0005149,0.0005149
51,10157.2,1.17716,1.64492,1.58198,0.55065,0.46623,0.50842,0.34044,1.83141,2.42315,2.19697,0.000505,0.000505,0.000505
52,10340.1,1.2031,1.65104,1.61034,0.52565,0.45497,0.49689,0.34775,1.75834,2.37431,2.10024,0.0004951,0.0004951,0.0004951
53,10534.8,1.16604,1.61361,1.56872,0.51556,0.4663,0.49008,0.34153,1.81366,2.36735,2.15357,0.0004852,0.0004852,0.0004852
54,10693.5,1.19083,1.6687,1.62225,0.53358,0.4585,0.48148,0.3448,1.76063,2.40188,2.12853,0.0004753,0.0004753,0.0004753
1,151.607,1.79964,4.02638,2.08741,0.21481,0.13772,0.13653,0.06465,2.108,4.02227,2.5159,0.000327957,0.000327957,0.000327957
2,335.559,1.86749,3.21205,2.15605,0.24436,0.18713,0.05744,0.02613,2.54604,4.84475,3.04991,0.000654744,0.000654744,0.000654744
3,500.536,2.03696,3.1984,2.31284,0.72328,0.04439,0.02885,0.00936,2.97481,4.98111,3.39604,0.00097493,0.00097493,0.00097493
4,655.625,2.0243,3.23136,2.32123,0.21543,0.13651,0.04161,0.01569,2.68132,6.66089,3.00599,0.0009703,0.0009703,0.0009703
5,832.501,2.02666,3.17833,2.33589,0.06969,0.10538,0.03717,0.01637,2.57711,5.22779,2.93832,0.0009604,0.0009604,0.0009604
6,1010.18,1.96572,3.23221,2.27753,0.953,0.09333,0.14729,0.06129,2.57622,3.9779,2.80484,0.0009505,0.0009505,0.0009505
7,1187.4,1.96994,3.09491,2.27117,0.44227,0.13353,0.08397,0.03338,2.49286,3.69328,2.80153,0.0009406,0.0009406,0.0009406
8,1394.66,1.90067,3.09817,2.23196,0.18793,0.26575,0.18216,0.10178,2.21905,3.32716,2.56198,0.0009307,0.0009307,0.0009307
9,1556.27,1.85326,3.0109,2.19196,0.38863,0.23611,0.19607,0.11106,2.17837,3.75708,2.48412,0.0009208,0.0009208,0.0009208
10,1706.25,1.85777,2.96608,2.17044,0.48187,0.3435,0.32682,0.17933,2.10383,3.1842,2.44824,0.0009109,0.0009109,0.0009109
11,1862.3,1.80101,2.8811,2.14109,0.33467,0.23587,0.2205,0.12776,2.20185,4.19929,2.44503,0.000901,0.000901,0.000901
12,2019.85,1.82948,2.91856,2.14561,0.87156,0.24608,0.3346,0.19716,2.02838,3.0212,2.39344,0.0008911,0.0008911,0.0008911
13,2160.27,1.79391,2.87224,2.16183,0.38805,0.33561,0.26061,0.1664,2.09967,3.80237,2.48349,0.0008812,0.0008812,0.0008812
14,2329.61,1.79114,2.82063,2.1109,0.86888,0.28961,0.35912,0.19715,1.93297,2.87107,2.28598,0.0008713,0.0008713,0.0008713
15,2486.06,1.71371,2.71493,2.08531,0.5226,0.29047,0.27811,0.16792,2.08055,3.11887,2.41125,0.0008614,0.0008614,0.0008614
16,2674.92,1.70369,2.67827,2.06551,0.56247,0.35177,0.34275,0.20215,1.97907,2.80054,2.27132,0.0008515,0.0008515,0.0008515
17,2838.38,1.69243,2.63071,2.03148,0.53468,0.42198,0.38464,0.23962,1.89983,2.74453,2.23102,0.0008416,0.0008416,0.0008416
18,2985.33,1.6289,2.54158,1.99844,0.36226,0.35548,0.36351,0.23835,1.88896,2.67551,2.22761,0.0008317,0.0008317,0.0008317
19,3152.58,1.68769,2.6145,2.04043,0.4401,0.39368,0.38904,0.23131,1.88776,2.58489,2.18432,0.0008218,0.0008218,0.0008218
20,3335.39,1.65034,2.51764,1.99971,0.89086,0.33047,0.40641,0.26862,1.84033,2.64682,2.1915,0.0008119,0.0008119,0.0008119
21,3476.67,1.61274,2.45219,1.96681,0.50851,0.39375,0.40171,0.25807,1.90515,2.66515,2.19082,0.000802,0.000802,0.000802
22,3643.12,1.59722,2.46545,1.9686,0.53106,0.40289,0.39492,0.2576,1.88212,2.73133,2.22382,0.0007921,0.0007921,0.0007921
23,3818.28,1.56655,2.38799,1.94705,0.64427,0.37836,0.41719,0.28599,1.86555,2.5826,2.19729,0.0007822,0.0007822,0.0007822
24,3999.18,1.56731,2.35183,1.93279,0.64077,0.42899,0.43426,0.27696,1.94023,2.66208,2.23726,0.0007723,0.0007723,0.0007723
25,4155.2,1.53136,2.36721,1.91598,0.38543,0.40777,0.4112,0.28913,1.80166,2.54978,2.17271,0.0007624,0.0007624,0.0007624
26,4324.78,1.5407,2.34341,1.91508,0.47798,0.41875,0.41486,0.27405,1.87313,2.59781,2.24294,0.0007525,0.0007525,0.0007525
27,4498.72,1.51979,2.27962,1.89913,0.50413,0.41333,0.42865,0.29685,1.79967,2.49071,2.16826,0.0007426,0.0007426,0.0007426
28,4669.87,1.45928,2.22797,1.84598,0.44146,0.42041,0.43466,0.30498,1.79319,2.52083,2.13661,0.0007327,0.0007327,0.0007327
