epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.798,0.84158,1.62751,0.82079,1.27752,0.76754,0.67979,0.70903,0.53629,0.75722,0.6758,0.69556,0.515,1.31567,2.39974,1.32835,1.76816,0.000541477,0.000399432,0.000399432
2,449.578,0.69256,1.32736,0.62416,1.13471,0.74637,0.70058,0.70123,0.53847,0.7483,0.69573,0.69026,0.51361,1.2753,2.38716,1.26508,1.72379,0.000384928,0.000384928,0.000384928
3,679.214,0.65915,1.27125,0.572,1.10817,0.73416,0.70306,0.69224,0.53317,0.74312,0.70014,0.68229,0.5077,1.28237,2.45639,1.28751,1.7286,0.000342007,0.000342007,0.000342007
4,913.591,0.65201,1.2519,0.56508,1.10522,0.78553,0.68794,0.73032,0.56537,0.78199,0.68534,0.71654,0.5394,1.25962,2.42775,1.27233,1.70188,0.000277771,0.000277771,0.000277771
5,1142.17,0.62259,1.22075,0.53943,1.08432,0.76192,0.70576,0.72281,0.55825,0.75905,0.70127,0.71013,0.53574,1.25453,2.44056,1.28334,1.70663,0.000202,0.000202,0.000202
6,1367.66,0.61992,1.2197,0.51541,1.08382,0.7868,0.70851,0.7422,0.57721,0.77882,0.7062,0.7299,0.55313,1.25969,2.39469,1.23049,1.71254,0.000126229,0.000126229,0.000126229
7,1593.02,0.59591,1.17138,0.5089,1.06361,0.76653,0.71708,0.72993,0.56716,0.76178,0.71631,0.72199,0.54351,1.26195,2.43532,1.25251,1.71978,6.19929e-05,6.19929e-05,6.19929e-05
8,1818.22,0.59655,1.16902,0.49303,1.06477,0.75439,0.72425,0.72874,0.56409,0.75416,0.72107,0.71807,0.54117,1.25626,2.42718,1.23925,1.71353,1.90719e-05,1.90719e-05,1.90719e-05
