epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.897,0.85594,1.64671,0.84641,1.29098,0.71868,0.71486,0.72087,0.55929,0.76156,0.67963,0.70788,0.53562,1.28714,2.39122,1.31866,1.72724,0.000741193,0.000599148,0.000599148
2,448.372,0.70142,1.34368,0.63906,1.14181,0.73762,0.70789,0.71914,0.55641,0.77988,0.67456,0.70936,0.53472,1.28912,2.41808,1.27999,1.73649,0.000577392,0.000577392,0.000577392
3,673.586,0.67242,1.28641,0.59314,1.11346,0.75719,0.71176,0.72896,0.56278,0.78753,0.6895,0.7177,0.53526,1.27912,2.43202,1.24353,1.72449,0.000513011,0.000513011,0.000513011
4,898.752,0.67167,1.2736,0.58817,1.12154,0.77884,0.70248,0.73712,0.57169,0.77345,0.69753,0.72238,0.54533,1.25366,2.45699,1.29683,1.69001,0.000416657,0.000416657,0.000416657
5,1124.45,0.62957,1.2208,0.54515,1.08612,0.76999,0.71035,0.73241,0.57033,0.76464,0.70162,0.72101,0.54589,1.25776,2.43917,1.26073,1.70854,0.000303,0.000303,0.000303
6,1349.42,0.62287,1.21289,0.52085,1.08509,0.76619,0.71311,0.74776,0.579,0.75826,0.70896,0.73627,0.5555,1.25752,2.41866,1.23136,1.69746,0.000189343,0.000189343,0.000189343
7,1574.89,0.59488,1.16569,0.50535,1.05991,0.77048,0.71751,0.742,0.57506,0.80224,0.69274,0.7312,0.55273,1.25455,2.46035,1.24138,1.71615,9.29893e-05,9.29893e-05,9.29893e-05
8,1800.45,0.59228,1.16069,0.4845,1.06128,0.81584,0.69448,0.74359,0.57512,0.81322,0.69167,0.73,0.55151,1.25084,2.45787,1.23626,1.7097,2.86078e-05,2.86078e-05,2.86078e-05
