epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,6766.42,1.2897,2.55589,1.82439,1.64585,0.60382,0.57186,0.59552,0.44339,0.62382,0.57066,0.59343,0.44791,1.38745,2.50699,1.72885,1.7746,0.00282618,0.00282618,0.00282618
30,6998.67,1.28049,2.53881,1.79962,1.63719,0.59429,0.59117,0.60093,0.44785,0.57878,0.58708,0.58662,0.44184,1.36523,2.50833,1.74517,1.75234,0.00281381,0.00281381,0.00281381
31,7230.66,1.27941,2.58328,1.81402,1.6326,0.60891,0.56978,0.58835,0.44012,0.63097,0.57253,0.59197,0.43135,1.39107,2.62687,1.79281,1.78226,0.00280105,0.00280105,0.00280105
32,7462.21,1.28888,2.57758,1.80298,1.64513,0.60128,0.57444,0.59505,0.43928,0.61919,0.57132,0.59187,0.44056,1.38607,2.49229,1.74239,1.77924,0.00278789,0.00278789,0.00278789
33,7693.75,1.2614,2.51032,1.74521,1.6141,0.64812,0.57966,0.61607,0.46197,0.65243,0.57402,0.60922,0.45976,1.35085,2.45867,1.70837,1.73741,0.00277435,0.00277435,0.00277435
34,7926.36,1.23284,2.46288,1.71013,1.58856,0.60525,0.60697,0.61865,0.46746,0.60864,0.58853,0.60804,0.45638,1.35987,2.45516,1.67253,1.73534,0.00276043,0.00276043,0.00276043
35,8159.67,1.23186,2.46,1.69599,1.58584,0.57967,0.60141,0.60776,0.45163,0.60584,0.59259,0.60168,0.45212,1.34857,2.48093,1.66677,1.73463,0.00274612,0.00274612,0.00274612
36,8392.28,1.22312,2.44611,1.67866,1.58244,0.61108,0.61214,0.62208,0.46979,0.60335,0.60757,0.61126,0.46258,1.34511,2.41688,1.67516,1.73762,0.00273144,0.00273144,0.00273144
37,8624.54,1.23558,2.45892,1.68617,1.5916,0.63303,0.59436,0.61511,0.44862,0.59573,0.60644,0.60563,0.44119,1.41149,2.47757,1.71974,1.78832,0.00271639,0.00271639,0.00271639
38,8857.3,1.23841,2.48299,1.70509,1.59303,0.62,0.60709,0.62213,0.47118,0.61097,0.5923,0.60667,0.46122,1.34537,2.38769,1.65294,1.72242,0.00270097,0.00270097,0.00270097
39,9089.52,1.23631,2.48509,1.72583,1.58859,0.6436,0.60371,0.63247,0.47387,0.65564,0.596,0.62152,0.45959,1.34151,2.43867,1.66164,1.73977,0.0026852,0.0026852,0.0026852
40,9322.17,1.21952,2.43343,1.65384,1.5777,0.61241,0.62255,0.63903,0.48836,0.61492,0.61721,0.63202,0.48242,1.3043,2.37779,1.58985,1.68598,0.00266906,0.00266906,0.00266906
41,9553.93,1.2027,2.38282,1.62688,1.56305,0.64918,0.6139,0.63686,0.48225,0.65696,0.61166,0.63318,0.47501,1.32647,2.40518,1.62948,1.70264,0.00265258,0.00265258,0.00265258
42,9785.84,1.20761,2.38461,1.63448,1.56284,0.60522,0.62154,0.63939,0.48232,0.61375,0.61543,0.62863,0.47602,1.31769,2.40091,1.5939,1.69398,0.00263574,0.00263574,0.00263574
43,10016.3,1.19716,2.39954,1.62166,1.55737,0.65711,0.60145,0.62885,0.47386,0.67055,0.59718,0.62858,0.46916,1.3377,2.36275,1.59632,1.74157,0.00261857,0.00261857,0.00261857
44,10247.9,1.21353,2.41462,1.64544,1.56931,0.67468,0.59987,0.63235,0.47875,0.67412,0.59729,0.62447,0.46666,1.31875,2.41805,1.61695,1.69897,0.00260106,0.00260106,0.00260106
45,10479.7,1.17921,2.35644,1.59689,1.54347,0.64569,0.6188,0.63899,0.48477,0.64965,0.61869,0.63475,0.48015,1.31693,2.34391,1.57239,1.71859,0.00258322,0.00258322,0.00258322
46,10711.9,1.18729,2.37481,1.59163,1.54996,0.66009,0.63546,0.64822,0.4949,0.67345,0.62201,0.63956,0.48627,1.29898,2.36017,1.55242,1.68561,0.00256505,0.00256505,0.00256505
47,10944,1.19863,2.37371,1.59385,1.55219,0.69286,0.6252,0.66106,0.49171,0.70678,0.62025,0.65789,0.49241,1.3341,2.34673,1.52718,1.72916,0.00254657,0.00254657,0.00254657
48,11176.6,1.18708,2.36492,1.57299,1.54159,0.6692,0.62813,0.64947,0.49075,0.67198,0.6249,0.64184,0.48267,1.27163,2.38579,1.55973,1.65825,0.00252777,0.00252777,0.00252777
49,11408,1.16018,2.3463,1.53753,1.52718,0.67445,0.63105,0.66755,0.51759,0.67595,0.63165,0.65922,0.5052,1.25295,2.30631,1.51498,1.62932,0.00250866,0.00250866,0.00250866
50,11639.9,1.14778,2.27227,1.5166,1.51523,0.65624,0.63038,0.65521,0.49885,0.65305,0.62687,0.65077,0.48957,1.31948,2.34726,1.52985,1.69351,0.00248925,0.00248925,0.00248925
51,11872,1.15924,2.2911,1.50895,1.52011,0.65209,0.64682,0.66216,0.50602,0.6668,0.64344,0.65887,0.4984,1.27933,2.30857,1.49267,1.66637,0.00246954,0.00246954,0.00246954
52,12103.6,1.16857,2.33437,1.53829,1.52315,0.64102,0.63664,0.64576,0.48693,0.64444,0.62216,0.63896,0.48498,1.30962,2.38409,1.57608,1.68172,0.00244954,0.00244954,0.00244954
